Employee_ID,Name,Age,Department,Salary,Performance_Score
1,Employee_1,28.0,Sales,66048.0,4.0
2,Employee_2,35.0,HR,43434.0,9.0
3,Employee_3,,Marketing,85302.0,1.0
4,Employee_4,22.0,Sales,58657.0,4.0
5,Employee_5,53.0,Marketing,33478.0,9.0
6,Employee_6,33.0,,84987.0,4.0
7,Employee_7,49.0,Marketing,66463.0,1.0
8,Employee_8,31.0,Finance,74597.0,5.0
9,Employee_9,30.0,HR,,2.0
10,Employee_10,26.0,Finance,42676.0,6.0
11,Employee_11,43.0,Marketing,64671.0,1.0
12,Employee_12,50.0,Marketing,46361.0,7.0
13,Employee_13,26.0,Marketing,68427.0,
14,Employee_14,44.0,Marketing,55203.0,2.0
15,Employee_15,23.0,HR,67930.0,2.0
16,Employee_16,35.0,Sales,79823.0,5.0
17,Employee_17,50.0,IT,51319.0,6.0
18,,43.0,HR,117841.0,5.0
19,Employee_19,25.0,Marketing,113227.0,3.0
20,Employee_20,55.0,HR,51417.0,8.0
21,Employee_21,45.0,IT,113886.0,9.0
22,Employee_22,35.0,IT,37331.0,4.0
23,Employee_23,23.0,IT,82581.0,5.0
24,Employee_24,,HR,104341.0,6.0
25,Employee_25,34.0,Finance,81856.0,8.0
26,Employee_26,30.0,IT,48301.0,4.0
27,Employee_27,56.0,Marketing,64438.0,10.0
28,Employee_28,48.0,Marketing,82350.0,6.0
29,Employee_29,35.0,HR,96784.0,8.0
30,Employee_30,26.0,Sales,,3.0
31,Employee_31,31.0,Finance,108172.0,2.0
32,Employee_32,45.0,Finance,108104.0,8.0
33,Employee_33,54.0,IT,102512.0,1.0
34,Employee_34,28.0,Marketing,64973.0,6.0
35,Employee_35,28.0,,86985.0,3.0
36,Employee_36,50.0,Sales,64522.0,9.0
37,Employee_37,32.0,Marketing,43947.0,5.0
38,Employee_38,53.0,Marketing,56071.0,3.0
39,Employee_39,44.0,HR,100697.0,9.0
40,Employee_40,21.0,Marketing,72487.0,8.0
41,Employee_41,22.0,Sales,77576.0,5.0
42,Employee_42,36.0,Sales,61571.0,
43,Employee_43,26.0,Sales,93699.0,2.0
44,Employee_44,55.0,HR,46828.0,8.0
45,Employee_45,56.0,HR,64741.0,9.0
46,Employee_46,59.0,Finance,57760.0,9.0
47,Employee_47,33.0,IT,82296.0,6.0
48,,49.0,Marketing,89177.0,2.0
49,Employee_49,36.0,HR,38392.0,6.0
50,Employee_50,22.0,Marketing,102603.0,4.0
